"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 11:17:35 GMT 2025","Wed Aug 20 11:17:36 GMT 2025","567","","com.fakeapistoreapi.tests.product.DeleteProductTest","","com.fakeapistoreapi.tests.product.DeleteProductTest","deleteProductWithNonNumericId","Delete Product - Non-numeric Product ID","Verify that deleting a product with a non-numeric ID returns a 400 Bad Request or 404 Not Found."
"passed","Wed Aug 20 11:17:52 GMT 2025","Wed Aug 20 11:17:53 GMT 2025","1113","","com.fakeapistoreapi.tests.user.UpdateUserTest","","com.fakeapistoreapi.tests.user.UpdateUserTest","updateUserWithValidData","Update user with valid data","Verify that an existing user can be updated successfully"
"passed","Wed Aug 20 11:17:15 GMT 2025","Wed Aug 20 11:17:17 GMT 2025","1920","","com.fakeapistoreapi.tests.cart.DeleteCartTest","","com.fakeapistoreapi.tests.cart.DeleteCartTest","deleteExistingCart","Delete Cart - Existing Cart","Verify that an existing cart can be successfully deleted"
"passed","Wed Aug 20 11:17:43 GMT 2025","Wed Aug 20 11:17:44 GMT 2025","704","","com.fakeapistoreapi.tests.user.CreateUserTest","","com.fakeapistoreapi.tests.user.CreateUserTest","ensureDynamicUserExists","Ensure dynamic user exists","Use TestDataUtil to create a user and return its id for downstream tests"
"failed","Wed Aug 20 11:17:10 GMT 2025","Wed Aug 20 11:17:10 GMT 2025","613","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","invalidUsernameShouldFail","Invalid username returns 401","Invalid username should return 401 (this will fail with FakeStoreAPI)"
"passed","Wed Aug 20 11:17:49 GMT 2025","Wed Aug 20 11:17:50 GMT 2025","649","","com.fakeapistoreapi.tests.user.GetUserTest","","com.fakeapistoreapi.tests.user.GetUserTest","getAllUsers","Get All Users","This test verifies that all users can be retrieved successfully using the GET /users endpoint."
"passed","Wed Aug 20 11:17:31 GMT 2025","Wed Aug 20 11:17:31 GMT 2025","509","","com.fakeapistoreapi.tests.product.CreateProductTest","","com.fakeapistoreapi.tests.product.CreateProductTest","createProductReturnsId","Create Product - ID Returned","Verify that the API returns an ID after creating a product"
"failed","Wed Aug 20 11:17:51 GMT 2025","Wed Aug 20 11:17:52 GMT 2025","1117","","com.fakeapistoreapi.tests.user.UpdateUserTest","","com.fakeapistoreapi.tests.user.UpdateUserTest","updateUserWithInvalidData","Update user with invalid data","Verify that updating a user with invalid data returns a bad request"
"passed","Wed Aug 20 11:17:44 GMT 2025","Wed Aug 20 11:17:45 GMT 2025","1367","","com.fakeapistoreapi.tests.user.CreateUserTest","","com.fakeapistoreapi.tests.user.CreateUserTest","createTwoValidUsers_shouldReturnDifferentIds","Create two users → different ids","Creating two users with unique data should return different ids"
"passed","Wed Aug 20 11:17:24 GMT 2025","Wed Aug 20 11:17:28 GMT 2025","3548","","com.fakeapistoreapi.tests.cart.UpdateCartTest","","com.fakeapistoreapi.tests.cart.UpdateCartTest","updateCartSuccessfully","Update Cart Successfully","Verify that an existing cart can be updated with valid product data."
"passed","Wed Aug 20 11:17:40 GMT 2025","Wed Aug 20 11:17:41 GMT 2025","509","","com.fakeapistoreapi.tests.product.UpdateProductTest","","com.fakeapistoreapi.tests.product.UpdateProductTest","partialUpdateProduct","Successfully update only some fields of an existing product","Verify that updating only certain fields of a product works as expected and leaves other fields unchanged."
"failed","Wed Aug 20 11:17:39 GMT 2025","Wed Aug 20 11:17:40 GMT 2025","432","","com.fakeapistoreapi.tests.product.UpdateProductTest","","com.fakeapistoreapi.tests.product.UpdateProductTest","updateProductInvalidDataTypes","Update fails with invalid data types in payload","Verify that updating a product with wrong data types in fields returns status 400."
"passed","Wed Aug 20 11:17:45 GMT 2025","Wed Aug 20 11:17:46 GMT 2025","1277","","com.fakeapistoreapi.tests.user.DeleteUserTest","","com.fakeapistoreapi.tests.user.DeleteUserTest","deleteExistingUser","Delete an existing user","Verify that an existing user can be deleted successfully"
"failed","Wed Aug 20 11:17:30 GMT 2025","Wed Aug 20 11:17:31 GMT 2025","531","","com.fakeapistoreapi.tests.product.CreateProductTest","","com.fakeapistoreapi.tests.product.CreateProductTest","createProductWithValidData","Create Product - Valid Data","Verify that a product can be successfully created with valid data"
"passed","Wed Aug 20 11:17:08 GMT 2025","Wed Aug 20 11:17:09 GMT 2025","1387","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","repeatLoginReturnsToken","Login: repeat login returns token","Multiple logins with same valid credentials should each return a token."
"passed","Wed Aug 20 11:17:11 GMT 2025","Wed Aug 20 11:17:13 GMT 2025","1651","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","testInvalidUsername","testInvalidUsername()","Invalid username should return 401 Unauthorized"
"passed","Wed Aug 20 11:17:10 GMT 2025","Wed Aug 20 11:17:11 GMT 2025","674","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","testInvalidPassword","testInvalidPassword()","Invalid password should return 401 Unauthorized"
"failed","Wed Aug 20 11:17:21 GMT 2025","Wed Aug 20 11:17:24 GMT 2025","2877","","com.fakeapistoreapi.tests.cart.UpdateCartTest","","com.fakeapistoreapi.tests.cart.UpdateCartTest","updateCartWithInvalidData","Update Cart with Invalid Data","Verify that updating a cart with invalid product data returns 400 Bad Request."
"passed","Wed Aug 20 11:17:31 GMT 2025","Wed Aug 20 11:17:32 GMT 2025","502","","com.fakeapistoreapi.tests.product.CreateProductTest","","com.fakeapistoreapi.tests.product.CreateProductTest","createProductWithDifferentCategory","Create Product - Different Category","Verify that creating a product with a different category still works"
"passed","Wed Aug 20 11:17:34 GMT 2025","Wed Aug 20 11:17:34 GMT 2025","514","","com.fakeapistoreapi.tests.product.DeleteProductTest","","com.fakeapistoreapi.tests.product.DeleteProductTest","deleteProductWithValidId","Delete Product - Valid Product ID","Verify that a product can be successfully deleted using its valid ID."
"passed","Wed Aug 20 11:17:19 GMT 2025","Wed Aug 20 11:17:20 GMT 2025","608","","com.fakeapistoreapi.tests.cart.GetCartTest","","com.fakeapistoreapi.tests.cart.GetCartTest","getCartsByUserId","Get Carts by User ID","Verify retrieving carts for a valid user ID returns 200"
"failed","Wed Aug 20 11:17:40 GMT 2025","Wed Aug 20 11:17:40 GMT 2025","490","","com.fakeapistoreapi.tests.product.UpdateProductTest","","com.fakeapistoreapi.tests.product.UpdateProductTest","updateProductMissingFields","Update fails when required fields are missing","Verify that updating a product without mandatory fields returns status 400."
"failed","Wed Aug 20 11:17:46 GMT 2025","Wed Aug 20 11:17:47 GMT 2025","606","","com.fakeapistoreapi.tests.user.DeleteUserTest","","com.fakeapistoreapi.tests.user.DeleteUserTest","deleteNonExistingUser","Delete a non-existing user","Verify that deleting a non-existing user returns 404 Not Found"
